,Original URL,Tweets,Final URL,HTTP Status
148,https://clarityofsignal.com/2017/05/01/now-you-see-me-over-100-white-helmet-self-posted-facebook-images-expose-fake-humanitarian-group-as-fsa-terrorists-in-bed-with-al-qaeda/,464,https://clarityofsignal.com/2017/05/01/now-you-see-me-over-100-white-helmet-self-posted-facebook-images-expose-fake-humanitarian-group-as-fsa-terrorists-in-bed-with-al-qaeda/,200
149,http://www.hangthebankers.com/hollywood-propaganda-white-helmets-syria/,21,http://hangthebankers.com/hollywood-propaganda-white-helmets-syria/,200
150,http://news.google.com/news/url?sa=t&fd=R&ct2=us&usg=AFQjCNFGrEwYX_9kixck7QBUd74MGl9TRw&clid=c3a7d30bb8a4878e06b80cf16b898331&ei=9guSWZjiMMbMqgKWt7KgBQ&url=http://www.npr.org/2017/08/14/543477504/white-helmets-rescuer-among-several-killed-in-syria-attack,1,https://news.google.com/topstories?sa=t&fd=R&ct2=us&usg=AFQjCNFGrEwYX_9kixck7QBUd74MGl9TRw&clid=c3a7d30bb8a4878e06b80cf16b898331&ei=9guSWZjiMMbMqgKWt7KgBQ&url=http://www.npr.org/2017/08/14/543477504/white-helmets-rescuer-among-several-killed-in-syria-attack&hl=en-US&gl=US&ceid=US:en,200
151,http://www.sinfiltros.com/sin-palabras/heroes-las-bombas-siria-20160803.html,3,https://www.sinfiltros.com/sin-palabras/heroes-las-bombas-siria-20160803.html,200
152,http://www.syrianews.cc/minions-of-iblis-against-syria-white-helmets/,42,https://www.syrianews.cc/minions-of-iblis-against-syria-white-helmets/,200
153,https://www.craigmurray.org.uk/archives/2017/09/the-appalling-pottingers/,2,https://www.craigmurray.org.uk/archives/2017/09/the-appalling-pottingers/,200
154,http://news.quiboat.com/Gd76KUz7,1,http://news.quiboat.com/Gd76KUz7,404
155,https://syria.liveuamap.com/en/2017/18-august-uk-search-and-rescue-teams-are-donating-equipment,11,https://syria.liveuamap.com/en/2017/18-august-uk-search-and-rescue-teams-are-donating-equipment,200
156,http://www.newsweek.com/us-horrified-brutal-assassination-white-helmets-650318,216,https://www.newsweek.com/us-horrified-brutal-assassination-white-helmets-650318,403
157,http://iccabodgruntfuttock.simplesite.com/436359772,1,http://iccabodgruntfuttock.simplesite.com/436359772,200
158,https://gu.com/p/63jkp/stw,1,https://www.theguardian.com/politics/2017/mar/06/amber-rudd-secret-billion-pound-conflict-stability-security-fund?CMP=share_btn_tw,200
